rowid	studyid	popid	speciesid	ord	fam	gen	sp	full_sp	habitat	source	development	acclim_stage	ctm_stage	tsr	sex	stand_lat	lat_bin	mass	all_mass	acclim_temp	cont_temp	acclim_dur	acclim_type	ctlimit	ramp_rate	groupID	treat	treatSD	treatN	cont	contSD	contN	simpctend	data_type	author	title	journal	year	webpage	ARR	var	precision	diff
810	115	239	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	67.1	60 - 70	NA	1.835	5	20	1	Constant	Ctmin	1	420	-0.13444109	0.3749298	5	0.54531722	0.6485273	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.045317221	0.000498809	44.77472247	-15
811	115	239	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	67.1	60 - 70	NA	1.835	5	20	1	Constant	Ctmin	1	421	1.37915408	0.253331	5	1.61480363	0.3343969	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.01570997	0.000156443	79.95074964	-15
812	115	238	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	59.88	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	422	-0.64255319	0.5138199	5	0.24468085	0.2140916	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.059148936	0.000275419	60.25640845	-15
813	115	238	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	59.88	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	423	0.65957447	0.2283644	5	1.51489362	0.3710921	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.057021277	0.000168764	76.97681327	-15
814	115	238	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	59.88	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	424	-0.12553191	0.2854555	5	1.18297872	0.4995471	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.087234042	0.000294251	58.2963247	-15
815	115	238	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Field	Holo	Adult	Adult	within	Female	59.88	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	425	0.14893617	0.3282738	5	1.17021277	0.314001	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.068085107	0.000183431	73.83515133	-15
816	115	238	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	59.88	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	426	0.51345756	0.3796223	5	1.72256729	0.3148087	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.080607315	0.000216193	68.01093642	-15
817	115	239	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	67.1	60 - 70	NA	1.835	5	20	1	Constant	Ctmin	1	427	-0.13250518	0.3703632	5	1.37888199	0.231477	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.100759145	0.000169556	76.79685182	-15
818	115	241	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	50.6	50 - 60	NA	1.835	5	20	1	Constant	Ctmin	1	428	0.95238095	0.462954	5	2.12836439	0.1666635	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.078398896	0.000215203	68.16729498	-15
819	115	239	77	Hymenoptera	Formicidae	Myrmica	ruginodis	Myrmica ruginodis	Terrestrial	Laboratory	Holo	Adult	Adult	within	Female	67.1	60 - 70	NA	1.835	5	20	1	Constant	Ctmin	1	429	0.55072464	0.6388766	5	1.61076605	0.3240678	5	Loss of natural position	Graph	"Maysov, A"	"Critical thermal minima, their spatial and temporal variation and response to hardening in Myrmica ants"	Cryo-Letters	2009	https://pubmed.ncbi.nlm.nih.gov/19274309/	0.070669427	0.000456163	46.82092886	-15
820	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	17.5	15	NA	Constant	Ctmax	0.1	430	42.2565	0.3493193	20	42.56529	0.1152778	17	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.123516	0.001101264	30.13381993	2.5
821	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	20	17.5	NA	Constant	Ctmax	0.1	430	42.84684	0.2860469	19	42.2565	0.3493193	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.236136	0.001665226	24.50548999	2.5
822	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	22.5	20	NA	Constant	Ctmax	0.1	430	43.152	0.2708971	20	42.84684	0.2860469	19	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.122064	0.001276116	27.9933503	2.5
823	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	25	22.5	NA	Constant	Ctmax	0.1	430	43.1135	0.2654941	20	43.152	0.2708971	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.0154	0.001150979	29.4758494	2.5
824	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	27.5	25	NA	Constant	Ctmax	0.1	430	43.1195	0.3838239	20	43.1135	0.2654941	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0024	0.001742463	23.95621429	2.5
825	291	241	33	Diptera	Drosophilidae	Drosophila	arizonae	Drosophila arizonae	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	25.52	20 - 30	NA	3.9021984	30	27.5	NA	Constant	Ctmax	0.1	430	43.424	0.1487633	20	43.1195	0.3838239	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1218	0.00135561	27.16017393	2.5
826	291	242	34	Diptera	Drosophilidae	Drosophila	bipectinata	Drosophila bipectinata	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	17.53	Oct-20	NA	0.6065	20	17.5	NA	Constant	Ctmax	0.1	431	39.7825	0.268796	20	38.55625	0.5907834	16	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.4905	0.004068261	15.67817902	2.5
827	291	242	34	Diptera	Drosophilidae	Drosophila	bipectinata	Drosophila bipectinata	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	17.53	Oct-20	NA	0.6065	22.5	20	NA	Constant	Ctmax	0.1	431	39.365	0.2135785	20	39.7825	0.268796	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.167	0.000942937	32.56557654	2.5
828	291	242	34	Diptera	Drosophilidae	Drosophila	bipectinata	Drosophila bipectinata	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	17.53	Oct-20	NA	0.6065	25	22.5	NA	Constant	Ctmax	0.1	431	39.614	0.1392234	20	39.365	0.2135785	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0996	0.000519991	43.85326165	2.5
829	291	242	34	Diptera	Drosophilidae	Drosophila	bipectinata	Drosophila bipectinata	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	17.53	Oct-20	NA	0.6065	27.5	25	NA	Constant	Ctmax	0.1	431	39.5615	0.3116218	20	39.614	0.1392234	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.021	0.00093193	32.75731207	2.5
830	291	242	34	Diptera	Drosophilidae	Drosophila	bipectinata	Drosophila bipectinata	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	17.53	Oct-20	NA	0.6065	30	27.5	NA	Constant	Ctmax	0.1	431	40.179	0.2389208	20	39.5615	0.3116218	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.247	0.00123353	28.47246571	2.5
831	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	15	12.5	NA	Constant	Ctmax	0.1	432	38.9615	0.1840845	20	38.99667	0.3167412	9	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.014068	0.002054652	22.06128703	2.5
832	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	17.5	15	NA	Constant	Ctmax	0.1	432	38.9975	0.1562682	20	38.9615	0.1840845	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0144	0.000466455	46.30151525	2.5
833	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	20	17.5	NA	Constant	Ctmax	0.1	432	38.666	0.1771529	20	38.9975	0.1562682	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.1326	0.000446423	47.32892287	2.5
834	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	22.5	20	NA	Constant	Ctmax	0.1	432	38.476	0.3511994	20	38.666	0.1771529	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.076	0.001237793	28.42339351	2.5
835	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	25	22.5	NA	Constant	Ctmax	0.1	432	38.79	0.57111	19	38.476	0.3511994	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1256	0.003733395	16.36620764	2.5
836	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	27.5	25	NA	Constant	Ctmax	0.1	432	39.2865	0.2782705	20	38.79	0.57111	19	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1986	0.003366142	17.2358924	2.5
837	291	243	37	Diptera	Drosophilidae	Drosophila	buzzatii	Drosophila buzzatii	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.05	20 - 30	NA	NA	30	27.5	NA	Constant	Ctmax	0.1	432	39.487	0.1711601	20	39.2865	0.2782705	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0802	0.000853842	34.22246131	2.5
838	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	17.5	15	NA	Constant	Ctmax	0.1	433	40.0395	0.1961867	20	39.4915	0.2520709	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.2192	0.000816232	35.00203356	2.5
839	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	20	17.5	NA	Constant	Ctmax	0.1	433	39.875	0.1428838	20	40.0395	0.1961867	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.0658	0.00047124	46.06583213	2.5
840	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	22.5	20	NA	Constant	Ctmax	0.1	433	40.186	0.2116949	20	39.875	0.1428838	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1244	0.000521844	43.7753489	2.5
841	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	25	22.5	NA	Constant	Ctmax	0.1	433	40.193	0.1530772	20	40.186	0.2116949	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0028	0.000545979	42.79687703	2.5
842	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	27.5	25	NA	Constant	Ctmax	0.1	433	40.228	0.1982184	20	40.193	0.1530772	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.014	0.000501785	44.64173141	2.5
843	291	244	38	Diptera	Drosophilidae	Drosophila	hydei	Drosophila hydei	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.269	30	27.5	NA	Constant	Ctmax	0.1	433	40.383	0.171774	20	40.228	0.1982184	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.062	0.000550375	42.62562477	2.5
844	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	15	12.5	NA	Constant	Ctmax	0.1	434	37.626	0.2739842	20	37.2365	0.2250211	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1558	0.001005615	31.53437252	2.5
845	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	17.5	15	NA	Constant	Ctmax	0.1	434	37.221	0.1274404	20	37.626	0.2739842	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.162	0.000730467	36.99982299	2.5
846	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	20	17.5	NA	Constant	Ctmax	0.1	434	38.0855	0.2908694	20	37.221	0.1274404	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.3458	0.000806769	35.20671718	2.5
847	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	22.5	20	NA	Constant	Ctmax	0.1	434	37.325	0.3460681	20	38.0855	0.2908694	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.3042	0.001634945	24.73138355	2.5
848	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	25	22.5	NA	Constant	Ctmax	0.1	434	37.623	0.3454836	20	37.325	0.3460681	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1192	0.001912976	22.86363066	2.5
849	291	245	39	Diptera	Drosophilidae	Drosophila	immigrans	Drosophila immigrans	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	1.426	27.5	25	NA	Constant	Ctmax	0.1	434	36.7275	0.2980441	20	37.623	0.3454836	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.3582	0.001665514	24.5033749	2.5
850	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	15	12.5	NA	Constant	Ctmax	0.1	435	38.93	0.1892923	20	38.4725	0.3629249	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.183	0.001340368	27.31416317	2.5
851	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	17.5	15	NA	Constant	Ctmax	0.1	435	39.5045	0.2867141	20	38.93	0.1892923	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.2298	0.000944292	32.54218824	2.5
852	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	20	17.5	NA	Constant	Ctmax	0.1	435	39.676	0.1106155	20	39.5045	0.2867141	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0686	0.000755526	36.38105264	2.5
853	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	22.5	20	NA	Constant	Ctmax	0.1	435	39.843	0.2036535	20	39.676	0.1106155	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.0668	0.000429684	48.24199504	2.5
854	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	25	22.5	NA	Constant	Ctmax	0.1	435	40.3015	0.1918682	20	39.843	0.2036535	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1834	0.000626305	39.95829782	2.5
855	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	27.5	25	NA	Constant	Ctmax	0.1	435	40.713	0.3393508	20	40.3015	0.1918682	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.1646	0.001215779	28.67957333	2.5
856	291	246	40	Diptera	Drosophilidae	Drosophila	melanogaster	Drosophila melanogaster	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	55.95	50 - 60	NA	0.95	30	27.5	NA	Constant	Ctmax	0.1	435	40.92947	0.274762	19	40.713	0.3393508	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.086588	0.001557012	25.34276646	2.5
857	291	247	41	Diptera	Drosophilidae	Drosophila	mojavensis	Drosophila mojavensis	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.14	20 - 30	NA	0.414	17.5	15	NA	Constant	Ctmax	0.1	436	41.414	0.5968461	20	40.7755	0.7295455	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.2554	0.007107695	11.86139043	2.5
858	291	247	41	Diptera	Drosophilidae	Drosophila	mojavensis	Drosophila mojavensis	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.14	20 - 30	NA	0.414	20	17.5	NA	Constant	Ctmax	0.1	436	42.3055	0.1573957	20	41.414	0.5968461	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	0.3566	0.003047989	18.11312043	2.5
859	291	247	41	Diptera	Drosophilidae	Drosophila	mojavensis	Drosophila mojavensis	Terrestrial	Laboratory	Holo	Whole life	Adult	between	Male	29.14	20 - 30	NA	0.414	22.5	20	NA	Constant	Ctmax	0.1	436	42.305	0.349985	20	42.3055	0.1573957	20	No response to stimulus	Depository - calculated in R	"Schou, M"	Linear reaction norms of thermal limits in Drosophila: predictable plasticity in cold but not in heat tolerance	Functional Ecology	2017	https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.12782	-0.0002	0.001178103	29.13455053	2.5
